Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),F_{Drag} (lbs),F_{Side} (lbs),F_{Lift} (lbs),L/D,F_{Aero x} (lbs),F_{Aero y} (lbs),F_{Aero z} (lbs),F_{Prop x} (lbs),F_{Prop y} (lbs),F_{Prop z} (lbs),F_{Gear x} (lbs),F_{Gear y} (lbs),F_{Gear z} (lbs),F_{Ext x} (lbs),F_{Ext y} (lbs),F_{Ext z} (lbs),F_{Buoyant x} (lbs),F_{Buoyant y} (lbs),F_{Buoyant z} (lbs),F_{Weight x} (lbs),F_{Weight y} (lbs),F_{Weight z} (lbs),F_{Total x} (lbs),F_{Total y} (lbs),F_{Total z} (lbs),L_{Aero} (ft-lbs),M_{Aero} (ft-lbs),N_{Aero} (ft-lbs),L_{Aero MRC} (ft-lbs),M_{Aero MRC} (ft-lbs),N_{Aero MRC} (ft-lbs),L_{Prop} (ft-lbs),M_{Prop} (ft-lbs),N_{Prop} (ft-lbs),L_{Gear} (ft-lbs),M_{Gear} (ft-lbs),N_{Gear} (ft-lbs),L_{ext} (ft-lbs),M_{ext} (ft-lbs),N_{ext} (ft-lbs),L_{Buoyant} (ft-lbs),M_{Buoyant} (ft-lbs),N_{Buoyant} (ft-lbs),L_{Total} (ft-lbs),M_{Total} (ft-lbs),N_{Total} (ft-lbs),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/geod-alt-ft,/fdm/jsbsim/attitude/phi-rad,/fdm/jsbsim/attitude/theta-rad,/fdm/jsbsim/attitude/psi-rad,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec,/fdm/jsbsim/velocities/phidot-rad_sec,/fdm/jsbsim/velocities/thetadot-rad_sec,/fdm/jsbsim/velocities/psidot-rad_sec,/fdm/jsbsim/inertia/cg-x-in,/fdm/jsbsim/inertia/iyy-slugs_ft2,/fdm/jsbsim/aero/qbar-psf,/fdm/jsbsim/metrics/aero-rp-x-in
0,0.01,0.02,-0.01,6.588912958477115e-07,4.384639984680838e-08,2.016887936400811e-06,0.01055510671989896,0.02,-0.005858966314551474,1.117990515e-14,1.126944198e-11,24867.7091261,24980.2267013,-17057.85240871365,12549.85033491395,-13035.86916748012,4.177900334837813,-3.039238344240976,18.79501978450358,-2.73186639581437,2.381144531751382,26.94239117649854,0,0,0,-17057.85240871365,12549.85033491395,-13035.86916748012,-3047.702992265725,19598.19483814375,-15186.63858813161,-3193.244841613935,19431.21594118171,-15186.63858813161,-17057.85240871365,12549.85033491395,-13035.86916748012,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004178511754783232,2.860954596272599e-16,9.313827271760076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,1868001.9662074,1868001.2915527,1.970223549397759e-16,-7.951386703658792e-16,360,1,1.719344396866002e-18,-6.938893903907228e-18,-2.798605421131741e-17,0.9343619253245606,-0.02335769277706401,-0.06234690004408209,-0.3500501031949652,0.9343619253245606,-0.02335769277706401,-0.06234690004408209,-0.3500501031949652,-142.61238960012,30.309084573839,-82.31833634376,-82.364999999999,-41.076,2289855.50779226,-1995879.787252531,-22520804.81592508,2289855.50779226,-1995879.787252531,-22520804.81592508,0,1868001.2915527,-6.4768827023311e-09,-82.364999999999057,-41.0760000000000005,1868001.29155271268,3.43868879373200357e-18,-1.38777878078144568e-17,6.28318530717958623,-17057.8524087136502,0.000174532925199432965,0.000349065850398865929,-0.000174532925199432965,0.000174532925199432965,0.000349065850398865929,-0.000174532925199432965,0,0.0307289924332935123,1.11799051503363e-14,0
1.2,0.01000079101068608,0.02000005247374909,-0.009997579318285179,6.594631124921794e-07,4.360675285105904e-08,2.017581457630448e-06,0.01055416298499219,0.02000103589448233,-0.005856313575951718,1.116454312e-14,1.126169679e-11,24850.6182002,24963.2245317,-17052.83517421857,12546.19953580948,-13013.33603119122,4.184159324403524,-3.045413001495277,18.76022159186242,-2.721899620107848,2.348252688377846,26.90869347968074,0,0,0,-17052.83517421857,12546.19953580948,-13013.33603119122,-3050.975249052857,19601.03246506748,-15154.32794129078,-3193.101407236856,19434.5998932822,-15154.32794406193,-16981.78208032632,12628.04383138322,-13027.07992659945,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002822029077165222,-0.004195043270964504,9.301060814951201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,1883639.7326135,1883639.0616489,-0.02571043650123781,-0.02727162115725688,359.7047190170913,0.9999966264273062,-0.0002249783858287591,-0.0002374108442127035,-0.00257686309235225,0.9343407458796633,-0.02317999937975751,-0.06219030982413871,-0.3501462889331616,0.9343560648396213,-0.0231772783639215,-0.06219132395112587,-0.3501054086724392,-142.65207306879,30.322370281165,-82.369845299402,-82.416171760757,-40.790197189885,2286196.299673969,-1972360.246942599,-22539009.39202269,2286023.698788363,-1972560.293866931,-22539009.39202269,0.0050136889586885,1883639.0616489,3.2384336766618e-09,-82.4161717607565976,-40.7901971898852054,1883639.06164887687,-0.000448731769071530971,-0.000475979581550678888,6.27803168180930449,-17052.8351742185732,0.000174546730940323437,0.00034906676623855837,-0.0001744906763333665,0.000174629859493521613,0.000348988431587232098,-0.000174647315891656905,0,0.0307289924332935123,1.11645431185084384e-14,0
2.4,0.01000158270729382,0.02000010466000406,-0.009995157804291383,6.600344980295165e-07,4.336724318066877e-08,2.018275068160712e-06,0.01055321962862017,0.02000207122728733,-0.005853660937152253,1.114921247e-14,1.12539621e-11,24833.550462,24946.2454488,-17047.81045998953,12542.54135738166,-12990.84459790175,4.190364905097163,-3.051536006289466,18.72551732957999,-2.711965153017306,2.31548832650331,26.87504933764788,0,0,0,-17047.81045998953,12542.54135738166,-12990.84459790175,-3054.235564691119,19603.83069695273,-15122.05770095721,-3192.945224183273,19437.94485769406,-15122.05770648766,-16904.60014745929,12706.84610018009,-13018.28655448137,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004720388586063162,-0.008368685783722568,9.288325109225866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,1899266.9491738,1899266.2819443,-0.0513599254291312,-0.05447973553238724,359.4059302610548,0.9999863473867852,-0.0004506585187776573,-0.0004730953622856157,-0.005184425219853307,0.9343195140643912,-0.02300229809928879,-0.06203371731435681,-0.3502424274421825,0.9343501586083893,-0.02299686972662066,-0.06203572990006391,-0.3501606681080576,-142.69172113652,30.335625048213,-82.421087051418,-82.467078235315,-40.500879629698,2282533.171993586,-1948837.325113666,-22557175.21937073,2282192.069538355,-1949236.763131542,-22557175.21937073,0.010027377917377,1899266.2819443,-6.4768521839226e-09,-82.4670782353146166,-40.500879629698062,1899266.28194426885,-0.000896399802317100975,-0.000950850760655903111,6.27281683424852954,-17047.8104599895341,0.000174560548652805407,0.000349067677060531877,-0.000174448412941291656,0.000174726720567536351,0.000348911161314978283,-0.000174761326010961746,0,0.0307289924332935123,1.11492124687597276e-14,0
3.6,0.01000237508941781,0.02000015655893019,-0.009992735457068132,6.606054520816761e-07,4.312787083522252e-08,2.01896876787914e-06,0.01055227665083754,0.02000310599855362,-0.005851008398156961,1.113391312e-14,1.12462379e-11,24816.5058652,24929.2894111,-17042.77832748077,12538.87585963722,-12968.3947508551,4.196517383104438,-3.057607662230435,18.69090673673755,-2.702062867492185,2.282850869830766,26.84145874036381,0,0,0,-17042.77832748077,12538.87585963722,-12968.3947508551,-3057.483978290486,19606.58968780435,-15089.82780146622,-3192.776343909318,19441.25097619978,-15089.82780359839,-16826.28340824009,12786.25604894973,-13009.48908913596,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009136163189593871,-0.01252104022021581,9.275620076757937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,1914883.6111846,1914882.947733,-0.07694864507671623,-0.08162450959298398,359.1035843571881,0.9999689199705326,-0.000677054955400565,-0.0007070332884532916,-0.007823096987180913,0.93429822981929,-0.02282458893547617,-0.06187712252758218,-0.3503385186640667,0.9343442065380531,-0.02281646686696976,-0.06188011790540916,-0.3502158814604875,-142.73133391857,30.348848981433,-82.472058598849,-82.517716439368,-40.207998006812,2278866.139079526,-1925311.068966318,-22575302.34664132,2278360.635331492,-1925909.241760715,-22575302.34664132,0.015041066876066,1914882.947733,0,-82.5177164393676463,-40.207998006811799,1914882.94773304462,-0.00134300721153722286,-0.00142461644272326698,6.2675399027461367,-17042.7783274807662,0.000174574378329803073,0.000349068582867671079,-0.000174406135006619379,0.000174823507984214185,0.000348834039439099028,-0.000174874956661544653,0,0.0307289924332935123,1.11339131166799808e-14,0
4.8,0.01000316815631628,0.02000020817069096,-0.009990312278195324,6.6117597515428e-07,4.288863531402312e-08,2.0196625565561e-06,0.01055133405169893,0.02000414020841981,-0.005848355958969652,1.111864499e-14,1.123852418e-11,24799.4843786,24912.3563769,-17037.73884717265,12535.20310912017,-12945.98638308315,4.202617066443366,-3.063628272571288,18.65638956526045,-2.692192637073391,2.250339744952138,26.80792167728518,0,0,0,-17037.73884717265,12535.20310912017,-12945.98638308315,-3060.720528392907,19609.30958956424,-15057.63817857036,-3192.594821137209,19444.51841229297,-15057.63818345126,-16746.80828106089,12866.27220049484,-13000.68758573353,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01352964396062317,-0.01665221862877026,9.262945645660425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,1930489.7137699,1930489.0541365,-0.1024767730157178,-0.1087061093137741,358.7976314779139,0.9999440940887322,-0.0009041823507768296,-0.0009392038511101898,-0.01049329162023738,0.9342768932885658,-0.02264687189713227,-0.0617205255009947,-0.35043456267851,0.9343382088212061,-0.02263606979376364,-0.06172448800059243,-0.3502710487953734,-142.77091152501,30.362042185185,-82.522756875944,-82.568083324152,-39.911502555416,2275195.215191087,-1901781.525498563,-22593390.82220491,2274529.411371573,-1902577.776271378,-22593390.82220491,0.020054755834754,1930489.0541365,-3.2384111907071e-09,-82.5680833241515586,-39.9115025554159288,1930489.05413645715,-0.00178855709594315389,-0.00189727952455823168,6.26220001764684486,-17037.7388471726517,0.000174588219958369867,0.000349069483662829379,-0.000174363842556924103,0.000174920221305136393,0.000348757065815813352,-0.000174988208986459457,0,0.0307289924332935123,1.1118644991466723e-14,0
6,0.01000396190769523,0.02000025949545209,-0.009987888265879409,6.617460665750767e-07,4.264953678351435e-08,2.020356434117818e-06,0.01055039183125887,0.02000517385702443,-0.005845703619594069,1.1103408e-14,1.12308209e-11,24782.4859507,24895.4463046,-17032.69207529749,12531.52316179923,-12923.6193773609,4.208664257137182,-3.069598137173174,18.62196555240075,-2.682354335836935,2.217954381286488,26.7744381368385,0,0,0,-17032.69207529749,12531.52316179923,-12923.6193773609,-3063.945253388909,19611.99055348796,-15025.4887680354,-3192.400705171192,19447.74729712921,-15025.48876953399,-16666.15075830829,12946.89263616949,-12991.88207795952,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179009474664571,-0.02076233241097417,9.250301736577239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,1946085.2521066,1946084.5963291,-0.1279444860747297,-0.1357247000671802,358.4880213593723,0.9999116117551338,-0.001132055451679628,-0.001169585763624605,-0.01319542474685054,0.9342555043448916,-0.02246914698111407,-0.06156392623935587,-0.3505305593816694,0.9343321652699107,-0.02245567850650345,-0.06156884019384294,-0.350326170035734,-142.81045406569,30.375204763408,-82.573178751121,-82.618175775414,-39.611343072807,2271520.414541421,-1878248.741526489,-22611440.69435484,2270698.412799998,-1879242.413003664,-22611440.69435484,0.025068444793443,1946084.5963291,0,-82.6181757754139312,-39.6113430728072942,1946084.59632906341,-0.00223305254177606815,-0.00236884289245406282,6.25679630168080436,-17032.6920752974875,0.000174602073533374803,0.000349070379448898887,-0.000174321535560902497,0.000175016860103898266,0.00034868024030085444,-0.000175101084064453277,0,0.0307289924332935123,1.11034080044166128e-14,0
7.2,0.01000475634281411,0.02000031053337585,-0.00998546342170077,6.623157268502129e-07,4.241057474334578e-08,2.021050400335154e-06,0.01054944998957191,0.020006206944506,-0.005843051380033899,1.108820209e-14,1.122312807e-11,24765.5105506,24878.5591526,-17027.63808160137,12527.83608349363,-12901.29362731419,4.214659259544923,-3.075517555697956,18.58763445096358,-2.672547838391746,2.185694211065562,26.74100810643235,0,0,0,-17027.63808160137,12527.83608349364,-12901.29362731419,-3067.158191518216,19614.632730148,-14993.37950564163,-3192.194050300738,19450.93779287672,-14993.37950987848,-16584.28646245482,13028.11501596938,-12983.07262038884,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02225018962189318,-0.02485149234925695,9.237688277784921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,1961670.2214247,1961669.5695384,-0.1533519603792528,-0.1626804467805526,358.1747033188792,0.9998712075172002,-0.001360689090598641,-0.001398157216707477,-0.0159299141764534,0.9342340631324615,-0.02229141419614581,-0.06140732477976261,-0.3506265088533047,0.9343260760767519,-0.02227529301390799,-0.06141317451852819,-0.3503812452472471,-142.8499616502,30.388336819617,-82.623321025941,-82.667990612391,-39.307468937279,2267841.751297696,-1854712.763685087,-22629452.01130744,2266867.654696004,-1855903.198121717,-22629452.01130744,0.030082133752131,1961669.5695384,0,-82.6679906123910513,-39.3074689372794452,1961669.56953840749,-0.00267649662300585307,-0.00283930942493605199,6.2513278702683035,-17027.6380816013661,0.000174615939041892782,0.000349071270228711917,-0.000174279214046137425,0.00017511342395113314,0.000348603562749085513,-0.000175213583027986557,0,0.0307289924332935123,1.10882020851758428e-14,0
8.4,0.01000555146137731,0.02000036128462835,-0.009983037743866092,6.628849553076016e-07,4.217174935990499e-08,2.02174445513356e-06,0.0105485085266925,0.02000723947100295,-0.005840399240292738,1.107302715e-14,1.121544564e-11,24748.558127,24861.6948796,-17022.57692159548,12524.14192945798,-12879.00901634782,4.22060237204421,-3.081386824428672,18.55339599914363,-2.662773019877557,2.153558669319424,26.70763157246997,0,0,0,-17022.57692159548,12524.14192945798,-12879.00901634782,-3070.359380870413,19617.23626943725,-14961.31032718508,-3191.974905400182,19454.09002936297,-14961.3103280555,-16501.19059377105,13109.93651401532,-12974.25924614482,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02657748566767926,-0.02891980858024913,9.22510519011481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,1977244.6170067,1977243.9690446,-0.1786993713093707,-0.1895735137383066,357.8576262750482,0.9998226076642346,-0.001590098177371094,-0.001624895869011959,-0.01869717964053472,0.9342125695239701,-0.02211367353918252,-0.06125072112705818,-0.3507224109895404,0.9343199410538034,-0.02209491331554963,-0.06125749098294186,-0.3504362743529262,-142.88943438793,30.401438456911,-82.673180434088,-82.717524586793,-38.999829127694,2264159.239581284,-1831173.63842907,-22647424.82120195,2263037.152076929,-1832560.177614477,-22647424.82120195,0.03509582271082,1977243.9690446,0,-82.7175245867934308,-38.9998291276940705,1977243.96904464439,-0.00311889240059240848,-0.00330868198930815444,6.24579383187096226,-17022.5769215954824,0.000174629816478764249,0.000349072156005167519,-0.000174236877981329651,0.000175209912429173784,0.000348527033015013472,-0.000175325706945217229,0,0.0307289924332935123,1.10730271455390134e-14,0
9.6,0.01000634726264549,0.02000041174937064,-0.009980611233956242,6.634537524539195e-07,4.193306013318421e-08,2.022438598284389e-06,0.01054756744267509,0.02000827143665365,-0.005837747200374134,1.105788312e-14,1.120777361e-11,24731.6286489,24844.8534441,-17017.50866430047,12520.44076479531,-12856.76543867953,4.226493895381006,-3.087206239480408,18.51924995063867,-2.653029755962783,2.121547193862167,26.67430852036158,0,0,0,-17017.50866430047,12520.44076479531,-12856.76543867953,-3073.548859385564,19619.80132057225,-14929.28116847866,-3191.743324330206,19457.20416744393,-14929.28117207687,-16416.83798742648,13192.35383762956,-12965.4420092145,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03088295020719412,-0.03296739063571005,9.212552402013051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,1992808.4341875,1992807.7901802,-0.2039868935599746,-0.2164040648276543,357.5367387684496,0.99976553065712,-0.001820297692542525,-0.001849778840282338,-0.02149764254133389,0.9341910236636006,-0.02193592501886005,-0.06109411531825686,-0.3508182658702021,0.9343137603936433,-0.02191453942007108,-0.06110178962038843,-0.3504912574184838,-142.92887238798,30.414509777972,-82.722753640361,-82.766774381802,-38.688372244823,2260472.89346794,-1807631.41203369,-22665359.17210058,2259206.919898474,-1809213.397296483,-22665359.17210058,0.040109511669508,1992807.7901802,0,-82.766774381801909,-38.6883722448233556,1992807.7901801602,-0.00356024292353677389,-0.0037769634459418229,6.24019328835230169,-17017.5086643004688,0.000174643705831085678,0.000349073036781076648,-0.000174194527394070492,0.00017530632511756009,0.000348450650952181629,-0.000175437456938152674,0,0.0307289924332935123,1.10578831155988203e-14,0
10.8,0.01000714374632144,0.02000046192776923,-0.00997818389017816,6.640221176172366e-07,4.169450722952022e-08,2.02313282971232e-06,0.01054662673757403,0.02000930284159647,-0.005835095260281571,1.104276991e-14,1.120011196e-11,24714.7220655,24828.0348048,-17012.43336451508,12516.73264405466,-12834.56277834159,4.232334124333031,-3.092976093602434,18.48519604459817,-2.643317922842359,2.089659225277635,26.6410389345363,0,0,0,-17012.43336451508,12516.73264405466,-12834.56277834159,-3076.726664854853,19622.32803209664,-14897.29196535339,-3191.499355539203,19460.28033563202,-14897.29196560102,-16331.20306338947,13275.36316073895,-12956.62094216649,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03516669717069343,-0.03699434740252198,9.200029834504196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994768943,           0,           0,           0,0.03072899243,           0,           0,           0,0.01536449253,0.3426088246,11.02311311,0,0,0,2008361.6683537,2008361.0283293,-0.229214701078371,-0.2431722632523503,357.2119889856202,0.9996996863370505,-0.002051302677352915,-0.002072782701858725,-0.02433172564850709,0.9341694254240689,-0.02175816863223154,-0.06093750735828371,-0.3509140733913815,0.934307533908357,-0.02173417132711597,-0.06094607043922608,-0.3505461943669279,-142.96827575925,30.427550885067,-82.772037239674,-82.815736611077,-38.373046534554,2256782.726987977,-1784086.130595533,-22683255.11198852,2255376.97305495,-1785862.902808645,-22683255.11198852,0.045123200628197,2008361.0283293,0,-82.8157366110769004,-38.3730465345535947,2008361.02832931164,-0.00400055122779217117,-0.00424415664327992739,6.23452533539679088,-17012.43336451508,0.0001746576070936693,0.000349073912559345293,-0.000174152162253065186,0.00017540266160721835,0.000348374416413905835,-0.000175548834064502096,0,0.0307289924332935123,1.10427699076452796e-14,0
